feature,combined_score
total_seats,9.0
total_passengers,7.41025641025641
scheduled_ground_time_minutes,7.387046505272162
total_children,7.211538461538462
actual_ground_time_minutes,7.16622445525271
basic_economy_pax,7.012820512820513
time_pressure_ratio,6.605144399127144
pnr_count,6.416666666666666
minimum_turn_minutes,6.403846153846153
load_factor,6.217948717948718
children_ratio,6.019230769230769
basic_economy_ratio,5.820512820512821
ground_time_variance,5.807692307692308
avg_party_size,5.621794871794872
ground_time_efficiency,5.608974358974359
wheelchair_requests,5.423076923076923
unaccompanied_minors,5.2243589743589745
total_ssrs,5.0256410256410255
stroller_users,4.814102564102564
is_international,4.628205128205128
lap_children,4.615384615384615
departure_delay_minutes,4.340703442295894
is_express,4.198717948717949
ssr_intensity,3.892201284324873
from_major_hub,0.34615384615384615
to_major_hub,0.23076923076923078
